Countries,"International tourism, expenditures for passenger transport items (current US$)","International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, expenditures for travel items (current US$)","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)","International tourism, receipts for passenger transport items (current US$)","International tourism, receipts for travel items (current US$)",GDP (current US$),Exports of goods and services (% of GDP)
Latin America &amp; Caribbean (excluding high income),14118523821,5.9,69923884309,55793342213,164604173.9,138523410.9,6.9,79006050570,7741170340,74737000000,4.9056E+12,23
Latin America &amp; the Caribbean (IDA &amp; IBRD countries),16316092614,5.7,77084923603,60774345989,173715171.2,145817951.5,6.9,85166901576,9063678628,79621943506,5.46207E+12,23.5
Least developed countries: UN classification,4366138219,3.9,12833855271,9085731647,38555567.9,..,10,24732461287,4774547289,20061318285,1.06322E+12,22.4
Low &amp; middle income,..,..,4.61791E+11,5.53653E+11,782000891.1,725777306.2,..,..,..,4.12372E+11,3.14124E+13,24.4
Low income,..,3.8,..,3248910714,17021655.4,..,12.9,11679698813,..,7505403567,4.25615E+11,19.9
Lower middle income,23786447439,5.4,1.21832E+11,1.06377E+11,192813989.6,..,7.4,1.33339E+11,14744006058,1.29741E+11,7.34692E+12,25.3
Middle East &amp; North Africa,..,9.8,1.14516E+11,1.19215E+11,139804138,..,9.1,1.31897E+11,..,1.11815E+11,3.36828E+12,45
Middle East &amp; North Africa (excluding high income),2833587012,7.3,35968285073,33641007756,58807590.8,..,14.4,49964342954,6642173313,44795312435,1.32022E+12,31.5
Middle East &amp; North Africa (IDA &amp; IBRD countries),2821290738,7.2,35139572487,32832257986,58212100.4,..,14.4,49728453994,6588532578,44497812624,1.30394E+12,31.7
Middle income,..,..,4.57525E+11,5.4945E+11,758857901.9,676540976.2,..,..,..,4.05617E+11,3.09856E+13,24.5
North America,60183742203,5.7,2.10049E+11,1.60979E+11,201364921.9,196550372.9,9.5,3.08764E+11,52523281328,2.28198E+11,2.23444E+13,13.8
Not classified,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,1.41434E+11,5.4,8.15784E+11,7.26604E+11,1331200523,922286548.2,6.5,9.84306E+11,1.55888E+11,8.8968E+11,5.34691E+13,28.6
Other small states,..,11.4,..,20522716766,51524462.8,..,15.8,..,..,..,4.4155E+11,61.3
Pacific island small states,66201900.8,6.1,392453079.8,332327084.6,1928869.8,..,47.2,2248465668,479184412.6,1754921076,10656209173,42.8
Post-demographic dividend,1.52532E+11,5.6,8.79273E+11,7.41583E+11,1257774890,905881478.5,6.7,1.01162E+12,1.51082E+11,9.12001E+11,5.04857E+13,29.6
Pre-demographic dividend,8002735565,9.4,32880665576,24232843033,..,..,5.1,17270492334,1872442732,15946728667,1.34463E+12,25.2
Small states,5831620615,10.5,26566855897,21746302686,78864839.6,..,18,51565534602,13955918415,44609936795,5.27519E+11,59.7
South Asia,7006000000,4.1,34077000000,27071000000,26712613.6,36499131.2,6.2,39918000000,2423000000,37495000000,3.43659E+12,18.5
South Asia (IDA &amp; IBRD),..,4.1,..,27074000000,25882111.5,35959133.5,6.2,..,..,37491000000,3.43659E+12,18.5
Sub-Saharan Africa,12780774330,7.2,34491411433,22081348896,56673405.1,..,8.5,35520914707,6159042839,29560480314,1.75454E+12,24.2
Sub-Saharan Africa (excluding high income),12748181033,7.2,34389991449,22013232130,56247033.4,..,8.4,34873646198,6102575429,28982406495,1.753E+12,24.2
Sub-Saharan Africa (IDA &amp; IBRD countries),12780774330,7.2,34491411433,22081348896,56673405.1,..,8.5,35520914707,6159042839,29560480314,1.75454E+12,24.2
Upper middle income,..,..,..,4.38352E+11,556608632.2,435778612.8,..,..,..,2.82209E+11,2.36387E+13,24.3
World,2.47819E+11,5.7,1.41274E+12,1.40689E+12,2339399882,1991161437,7.1,1.82996E+12,2.78749E+11,1.44927E+12,8.62676E+13,29.2
